"Most critics are missing the point of this movie - it's not supposed to be a ""Schindler's List."" Yes there are cliches,but some of them are cleverly wrapped cliches of cliches. There's some stuff that gets too silly, unless your 7, at which point his reaction (my son) adds even more to the entertainment value of the movie.
The bottom line is that my daughter, son and I went to the movie, had a great time. We've been quoting lines in the last couple of days and laughing at the memory, but we've also had some serious conversations about love and loss and family and taking care of each other - an experience far more valuable than the cost of the movie."
"It's not as bad as all the reviews on here say. It's a kids movie and my kids enjoyed it, that's all that really counts."
"Yes I agree this is not a movie for serious and especially older movie critics to go watch 😂 but this is a very Funny movie that the whole family will enjoy together. This is a simple movie with some natural human storyline, Not some aliens taking over The earth, or some Si-Fi movie that takes place in 2300. Do Not listen to these low reviews, Go watch with your kids and enjoy your time 😉"
"Not quite sure why all the negativity on this light-hearted, kid-friendly movie. I sure hope Americans aren't losing their sense of humor in all this political discourse constantly buzzing around us. I found Fire to be a thoroughly enjoyable 90-minute romp through the look of single men dealing with kids who have been caught in tragic circumstances. John Cena's portrayal of a bumbling lover/father figure was humorously delivered despite his hulking frame overpowering the physicality of all those around him. He's surrounded by an equally delightful crew, with special kiddos to Keegan-Michael Key, whose appearance in every frame elicited at least a chuckle from the audience.
Judging from the kids in the seats, Fire appeared to entertain everyone in the house. It's refreshing to see a film with not one swear word and non-adult over the top mature situations, save for two instances (there must be a Hollywood requirement that each movie contain at least two poopy scenes). Do yourself a favor and ignore the snobbish critics and go see this delightful comedy."
"If anyone reviews it as an adult movie, that is their mistake.There was no solid plot. It was mainly a bunch of funny scenes sewn together to make a plot. I saw two established actors I enjoy very much, Dennis Haysbert and Judy Greer. I was also introduced to another established actor I had not seen before, Keegan Michael Key. He was very funny. I would say he stole the movie. I was also introduced to a new actor, for whom I predict a bright career, if she stays with these ""good"" movies, Brianna Hildebrand."
"From my 7 year old ""It was one of the best movies ever and that I've ever seen in my life. The end was a little emotional and then it became a lot happier. Then it was over"""
"Simmer down you wannabe critics, this film was a blast! Sure it was a little infantile, but if you expected something dramatic and serious, then give yourself a 1/10, not this film!Directing and cinematography was great, as was the writing. The comedy was actually funny and entertaining, and presented perfectly by every actor (even the little ones). Casting was amazing - great to see some of my favorite funnymen Keegan-Michael Key and John Leguizamo. Pacing was perfect for the 96 min runtime. It's a well deserved and honest 8/10 from me"
"Playing With Fire is one of the greatest family movies I have ever seen! It is a family-friendly, feel-good movie with an important message - family is the most important thing to help you keep going. There is a lot of comedy in this movie that makes the audience laugh out loud.The story line is both adventurous and exciting. There is lots of action, but it is not violent. The characters are super funny and the acting is phenomenal! If I had to recommend any film to watch with friends and family, it would be this one. Some parts are sad, but there is also plenty of action and comedy to keep the audience engaged.Playing With Fire is about four smoke jumpers, which is an elite team of fire fighters. Jack and his friends are specially trained to jump into dangerous wildfires, so they can rescue people and fight fires. Their lives are perfect, until they find three kids trapped in a fire and this special group of men is forced to hang onto them until they can find their parents. Until then, they have to fight fires and take care of the kids. What could go wrong?The cast in this film is amazing! The casting director, Rich Delia, not only picked some big names to be in this film, but also found some talented new-comers. The whole cast portrays their characters really well and they are hilarious too! Superintendent Jack Carson, head of the smoke jumpers, is played by John Cena, a well-known actor and WWE wrestler. Keegan- Michel Key, a famous comedian, plays Lieutenant Mark, a friend of the Superintendent and another smoke jumper. Jack's soft-hearted friend, Rodrigo, is played by John Leguizamo. Brianna Hildebrand plays Brynn, the oldest of the three kids. This film also has a dog named Masher, that is Jack's fierce firehouse dog. Masher is very well trained and his interaction with the kids is hilarious. Andy Fickman directs the film.I give Playing With Fire 5 out of 5 stars and recommend it for ages 7 to 18, as well as adults . Reviewed by Eva W., KIDS FIRST! Film Critic. For more reviews by youth, visit kidsfirst dot org."
"Took my 11 year old to see this, and she loved it!For me, an adult, it was terrible. Some laughs, but poor acting, lame plot, and unbelievable characters. Plus, John Cena has his shirt off way too much! And the constant shelling for ""My Little Pony"" was wearisome. Only Keegan-Michael Key was semi-palatable, and that was only in two scenes. If you can drop your kids off, do so!"
"Didnt they just make this film like 5 years ago ?
and before that and before that and before that
I think the last one was Vin Disel as a nanny or something and then there was one with Jackie Chan as a spy next door and Arnold Schwarzenegger as the kindergarten teacher I think they just recycle this movie every five years with a different leading man
If your taking your grade schoolers they may like it everyone else will probably groan and play candy crush on their phone"
